Unnamed: 0,Name,Date & Time,Location,Type,Region,Latitude,Longitude
374,Guitar Gallery,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619
375,Nordic Journeys,Ongoing,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151
376,Baird’s beaked whale,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
377,Amazing Life,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
378,Culture is Living,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
379,Fossils Uncovered,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
380,Northwest Native Art,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
381,Our Material World,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
382,Apollo,Ongoing,The Museum of Flight,Museums,South Seattle,,
383,Art and Life Along the Northwest Coast,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575
384,Washington: My Home,Ongoing,Washington State History Museum,Museums,South,47.6605211,-122.31156049949824
385,Sensory-Friendly Programs,Ongoing,MoPOP Museum of Pop Culture,Festivals & Special Events,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619
386,Dale Chihuly at Tacoma Art Museum,Ongoing,Tacoma Art Museum,Museums,South,,
387,Be/longing: Contemporary Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062
388,Porcelain Room,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575
389,Life on the Edge,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866
390,Tropical Pacific,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866
391,Underwater Dome,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866
392,Meet the Animals,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,47.669143399999996,-122.35096188536495
393,Chihuly Garden and Glass,Ongoing,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,47.6205296,-122.35020712496446
394,Discover Ancient Coast Salish Culture,Ongoing,Hibulb Cultural Center,Museums,North,,
