Unnamed: 0,Name,Date & Time,Location,Type,Region,Latitude,Longitude,weather,temperature,wind_speed,wind_direction
91,Gov’t Mule,2/9/2024,The Moore Theatre,Music,Downtown,,,Rain,53,8 to 12 mph,S
92,Ijeoma Oluo: Be A Revolution,2/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
93,Mayer Hawthorne,2/9/2024,The Neptune Theatre,Music,University District,,,Rain,53,8 to 12 mph,S
94,Moontricks,2/9/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,Rain,53,8 to 12 mph,S
95,OBOE / OBOE,2/9/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,Rain,53,8 to 12 mph,S
96,Roots and Wings,2/9/2024,Rendezvous JewelBox Theater,Theatre,Downtown,47.6146245,-122.3462961,Rain,53,8 to 12 mph,S
97,Seattle Boat Show,2/2/2024 through 2/10/2024,Lumen Field,Festivals & Special Events,Pioneer Square,47.5953459,-122.33164431196111,Rain,53,8 to 12 mph,S
98,Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
99,Art by Design,2/9/2024 through 2/10/2024,Seattle Design Center,Visual Arts & Galleries,Downtown,47.55148885,-122.32828666347224,Rain,53,8 to 12 mph,S
100,The Love Show,2/9/2024 through 2/10/2024,The Royal Room,Theatre,South Seattle,47.5569023,-122.2842722,Rain,53,8 to 12 mph,S
101,Brazilian Carnaval 2024,2/10/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,Rain,53,8 to 12 mph,S
102,Chase Rice,2/10/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,Rain,53,8 to 12 mph,S
103,Joe “Mr. D”  Dombrowski,2/10/2024,The Moore Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
104,JVNA,2/10/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
105,Linda From Work,2/10/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,Rain,53,8 to 12 mph,S
106,The Brother Brothers,2/10/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082916,Rain,53,8 to 12 mph,S
107,The Temptations &  The Four Tops,2/10/2024,The Paramount Theatre,Music,Downtown,,,Rain,53,8 to 12 mph,S
108,Quixote Nuevo,Now through 2/11/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,,,Rain,53,8 to 12 mph,S
109,Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,Rain,53,8 to 12 mph,S
110,Blood Sweat  and Tears,2/8/2024 through 2/11/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,8 to 12 mph,S
111,Love at the Zoo,2/10/2024 through 2/11/2024,Point Defiance Zoo and Aquarium,Festivals & Special Events,South,,,Rain,53,8 to 12 mph,S
112,Scott Bradlee’s Postmodern Jukebox,2/11/2024,The Paramount Theatre,Music,Downtown,,,Rain,53,8 to 12 mph,S
113,Tourist and Amtrac,2/11/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
114,6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard,,,Rain,53,8 to 12 mph,S
115,Eliades Ochoa,2/13/2024,The Moore Theatre,Music,Downtown,,,Rain,53,8 to 12 mph,S
